CAGE No.,PARENT,SEX,ADULTS IN CAGE,LITTER DOB,LITTER #,WEAN DATE,DCM wean date,Br FEM DOB,Br FEM AGE,Br MALE DOB,Br MALE AGE,Pairing date,Notes
A 101#,1/5,M,5,,, , ,,,7/11/19,10.71,,
A 102#,1/5,F,5,,, , ,,,7/11/19,10.71,,
A 200#,3/10,Br,2F 1M,,, , ,3/20/19,26.86,5/20/19,18.14,6/28/19,
A 300#,10/11,Br,2F 1M,,, , ,,,4/19/19,22.57,6/12/19,dead pups
A 400#,1,Br,1F 1M,,, , ,,,5/25/19,17.43,7/19/19,
A 501#,5,M,3,,, , ,,,7/3/19,11.86,,
A 502#,5,F,1,,, , ,,,7/3/19,11.86,,
A 600#,10/11/3/5,Br,2F 1M,,, , ,4/19/19,22.57,1/28/19,34.14,8/2/19,
A 700#,10/11,Br,2F 1M,,, , ,5/7/19,20,4/19/19,22.57,6/28/19,
A 800#,10/11,Br,2F 1M,,, , ,5/7/19,20,4/19/19,22.57,6/28/19,
A 900#,10,Br,2F 1M,,, , ,,,5/20/19,18.14,7/10/19,
A 1000#,10,Br,1F 1M,,, , ,,,5/20/19,18.14,7/10/19,
BN 100,3/6,Br,2F 1M,,, , ,,,5/14/19,19,6/28/19,
BN 200,3/6,Br,2F 1M,8/6/19,3,8/27/19,8/29/19,,,5/14/19,19,,
BN 200,3/6,Br,2F 1M,8/8/19,7,8/29/19,8/31/19,,,5/14/19,19,,parents 9
BN 300,1/3/5,Br,2F 1M,,, , ,,,5/1/19,20.86,6/12/19,
BN 400,1/3/4/6,Br,2F 1M,,, , ,,,3/26/19,26,,
BN 500,1/3/5,Br,2F 1M,8/4/19,7,8/25/19,8/27/19,,,5/1/19,20.86,,
BN 600,3/6,Br,1F 1M,7/22/19,7,8/12/19,8/14/19,,,5/14/19,19,,parents 5/6
BN 700,1/3/4/6,Br,2F 1M,7/24/19,5,8/14/19,8/16/19,,,3/26/19,26,,
BN 702,7/9,F,4,,, , ,,,6/17/19,14.14,,
BN 703,7/9,F,3,,, , ,,,6/17/19,14.14,,
